"tendencia","cutoff","modelo","meseta","varianza","razon","veredicto"
"lineal",113.2,"esferico",578.7,408.4,1.42,"meseta > varianza: NO estacionario"
"cuadratica",113.2,"esferico",176.2,158.8,1.11,"coherente"
"lineal",50,"esferico",769.6,408.4,1.88,"meseta > varianza: NO estacionario"
"cuadratica",50,"esferico",161.7,158.8,1.02,"coherente"
"lineal",113.2,"exponencial",735.1,408.4,1.8,"meseta > varianza: NO estacionario"
"cuadratica",113.2,"exponencial",179.2,158.8,1.13,"coherente"
"lineal",50,"exponencial",1275.1,408.4,3.12,"meseta > varianza: NO estacionario"
"cuadratica",50,"exponencial",285.6,158.8,1.8,"meseta > varianza: NO estacionario"
"lineal",113.2,"gaussiano",586.6,408.4,1.44,"meseta > varianza: NO estacionario"
"cuadratica",113.2,"gaussiano",175.1,158.8,1.1,"coherente"
"lineal",50,"gaussiano",537.6,408.4,1.32,"meseta > varianza: NO estacionario"
"cuadratica",50,"gaussiano",152.9,158.8,0.96,"coherente"
